epoch,accuracy,loss,val_accuracy,val_loss
0,0.15859203,2.8815335155318396,0.3233082592487335,2.3996943005344322
1,0.36014426,2.2955485677674257,0.48245614767074585,1.9882150825701261
2,0.4670743,1.9772413347200302,0.5401002764701843,1.7297033101394959
3,0.5229696,1.7792063211994733,0.5864661931991577,1.5607127351569652
4,0.5650674,1.6379442929604764,0.6102756857872009,1.4415051560652883
5,0.5886642,1.5369328791518015,0.6428571343421936,1.3480893206178097
6,0.61022264,1.4533191155531295,0.6754385828971863,1.2759516765001722
7,0.62950766,1.3793983659369702,0.6804511547088623,1.2149265132153542
8,0.6324867,1.3300184037532878,0.6904761791229248,1.1691715744204987
9,0.6491847,1.2829480154568889,0.7005012631416321,1.1225139225335945
10,0.65702415,1.2430817369720935,0.7105262875556946,1.087725025370605
11,0.6687049,1.2025653971572325,0.7205513715744019,1.0543514033009236
12,0.6767012,1.1773796893934279,0.7218044996261597,1.0222810100493276
13,0.67811227,1.1499767124783697,0.7368420958518982,0.9935842208694994
14,0.68532455,1.1172077665417948,0.7406014800071716,0.9707165546435162
15,0.6958294,1.0924588132143842,0.7406014800071716,0.9484271079974067
16,0.7026497,1.072485883899825,0.7481203079223633,0.9265843099520021
17,0.6948103,1.0585731562961789,0.7581453919410706,0.9094939612804499
18,0.7010819,1.050135619048229,0.7593985199928284,0.8930832845226565
19,0.70547193,1.039129339469268,0.7631579041481018,0.8770353342954975
20,0.71127313,1.0094444514647962,0.7656641602516174,0.8622091068958578
21,0.71260583,0.9969359029700069,0.7731829285621643,0.8508904812329993
22,0.7169175,0.9890256040931383,0.7719298005104065,0.8363525386442218
23,0.7151145,0.9791195674277503,0.7844611406326294,0.827755251922703
24,0.7220132,0.9552977991191972,0.7794486284255981,0.8177951487682218
25,0.72122926,0.9614831542624841,0.7819548845291138,0.8114687552428186
26,0.72687364,0.9339348835401604,0.7882205247879028,0.7997154402254817
27,0.72820634,0.9367061316238073,0.780701756477356,0.7908657342568973
28,0.72499216,0.9231056735858756,0.7932330965995789,0.7789646303444578
29,0.74106306,0.9071799997729768,0.7944862246513367,0.7703218962016859
30,0.73667294,0.9038004587206133,0.7932330965995789,0.7676953976614433
31,0.73424274,0.897824785068477,0.7932330965995789,0.7593094292738682
32,0.7373001,0.8962254486475741,0.7932330965995789,0.7548935786823282
33,0.7365162,0.8940461970405468,0.7969924807548523,0.7461668269377304
34,0.7391816,0.8914104656539168,0.7969924807548523,0.7366442654963424
35,0.7349483,0.8800232465848836,0.7969924807548523,0.731891211561093
36,0.74239576,0.8710357001131326,0.7994987368583679,0.728139763189139
37,0.7475698,0.858673471783388,0.8045112490653992,0.722821557282804
38,0.7460803,0.8551961035844711,0.8020049929618835,0.7167972726630687
39,0.7473346,0.8468729222632008,0.7994987368583679,0.7121705698190177
40,0.75086236,0.8425038847459002,0.8020049929618835,0.7084788231921375
41,0.7485889,0.8369569810310028,0.7969924807548523,0.7003782726170724
42,0.75384134,0.8312590636590986,0.8020049929618835,0.6994998710496085
43,0.7472562,0.8361853808725318,0.7944862246513367,0.6917901859247595
44,0.75337094,0.8238318259578097,0.8020049929618835,0.6879131102322934
45,0.7472562,0.8292524483640129,0.8020049929618835,0.6860068380683287
46,0.7613672,0.812117138890945,0.8032581210136414,0.6839939629224906
47,0.75932896,0.8057815416007252,0.8082706928253174,0.6763713518180943
48,0.75517404,0.8190777383186332,0.8095238208770752,0.6726416881221876
49,0.7614456,0.7999646742073261,0.8045112490653992,0.6648993475694107
